STATION,LATITUDE,LONGITUDE,ELEVATION,NAME
16219099999,42.4666667,12.9833333,1875,"TERMINILLO MOUNTAIN, IT"
16320099999,40.657633,17.947033,14.32,"CASALE, IT"
16300099999,40.6333333,15.8,843,"POTENZA, IT"
16088099999,45.432167,10.267667,101.49,"GHEDI, IT"
16252099999,41.5666667,14.65,807,"CAMPOBASSO, IT"
16459099999,37.4,14.917,22,"CATANIA SIGONELLA, IT"
16179099999,43.5166667,12.7333333,574,"FRONTONE, IT"
16191099999,43.616342,13.362319,14.93,"FALCONARA, IT"
16084099999,44.913055,9.723333,138.98,"PIACENZA, IT"
16263099999,41.05,15.2333333,1093,"TREVICO, IT"
16168099999,42.3833333,11.1666667,632,"MOUNT ARGENTARIO, IT"
16344099999,39.3333333,16.4,1677,"MONTE SCURO, IT"
16459433126,37.40166,14.92235,24.7,"SIGONELLA, IT"
16140099999,44.535444,11.288667,37.49,"BOLOGNA, IT"
16061099999,45.0333333,7.7333333,710,"TORINO BRIC CROCE, IT"
16134099999,44.2,10.7,2173,"CIMONE MOUNTAIN, IT"
16289034113,40.88603,14.29078,89.6,"NAPLES, IT"
16344599999,39.3333333,16.4,1720,"SCURO MOUNTAIN, IT"
